Time Stamp,X Acceleration,Y Acceleration,Z Acceleration,X Velocity,Y Velocity,Z Velocity,X Position,Y Position,Z Position
0.0,-13.072864860000001,-13.072864860000001,-13.072864860000001,0.0,-9.47382765,-16.800480432,-71.4439923717,-214.85220036052502,-381.009695477112
0.0,-13.072864860000001,-13.072864860000001,-13.072864860000001,-9.4508886,-18.9476553,-33.600960864,-285.7759694868,-572.9392009614,-1016.025854605632
0.0010000000038417056,-13.072864860000001,-13.072864860000001,-13.072864860000001,-18.901777200000005,-28.42148295,-50.401441296,-594.5880274384051,-1022.7973517889076,-1818.4086886203224
0.0020000000004074536,-13.072864860000001,-13.072864860000001,-13.072864860000001,-21.949080390000006,-31.087499235000003,-55.740874203000004,-900.7092495017177,-1462.9944291861602,-2617.282956120651
0.046999999998661224,-0.26569404,0.5427578700000001,9.849230190000002,-18.545822985000008,-27.143478660000003,-49.9373145,-1154.7433076035354,-1846.5271320089103,-3328.202853332955
0.04899999999906868,-0.17174367,0.14720886,9.21312036,-15.058788180000006,-23.591715840000003,-44.105928732,-1355.554757964713,-2179.0907738744627,-3946.129000297205
0.04899999999906868,-0.09813923999999999,-0.24175764,9.904882319999999,-11.505329865000006,-20.401093455,-37.635740289000005,-1502.4107643612606,-2465.2067733376202,-4466.386173325168
0.05000000000291038,-0.03889665,-0.5750720100000001,10.49072571,-7.921352640000007,-17.44744143,-31.185897786000005,-1595.2706136696231,-2707.0284022664027,-4892.475701042574
0.0970000000015716,-0.03710142,-0.71569836,9.864190440000002,-4.362508635000006,-14.541662205000002,-25.178878683000004,-1634.8173816294457,-2904.080674219335,-5228.251759145962
0.09800000000541331,-0.08916309,-0.67081761,9.60507891,-0.8688913200000066,-11.525177130000001,-19.238881500000005,-1622.1797264992808,-3053.83711369581,-5472.990558772134
0.09900000000197906,-0.16755479999999998,-0.49428666000000004,9.7301466,2.5406493899999933,-8.285185920000002,-13.136116797000005,-1558.536067022026,-3152.5883027719274,-5624.690371346301
0.09900000000197906,-0.2573163,-0.22380534000000002,9.93061395,5.878380899999994,-4.778004645000002,-6.931323189000004,-1444.6215012618684,-3196.6474419257625,-5682.939541952518
0.14600000000064028,-0.3111732,0.04009347,9.934204410000001,9.190679984999994,-1.0503092850000018,-0.7741031760000023,-1280.560430429671,-3183.44055701256,-5648.423408170629
0.14600000000064028,-0.30818115,0.21722283,9.835466760000001,12.511955219999994,2.7973672799999982,5.3400313169999984,-1065.771561594676,-3113.22097413444,-5521.1713739232
0.147000000004482,-0.2932209,0.28005588000000003,9.84803337,15.901149989999993,6.491551679999999,11.493361664999998,-799.3569441984762,-2988.519692472405,-5300.66095412461
0.14800000000104774,-0.17234208,-0.08976150000000001,9.91385847,19.341209609999993,10.00441785,17.676612513,-480.9863495722363,-2810.6508411812024,-4986.733819961031
0.19700000000011642,-0.1914912,-0.08258058,9.90787437,22.774088309999993,13.524764144999999,23.850887211,-110.71858556109139,-2579.4425204058225,-4579.552823926686
0.19700000000011642,-0.18670392000000002,-0.07480125,9.89590617,26.20636859999999,17.060369895,30.012595299,311.5096793604885,-2294.5667633176276,-4079.3984342060644
0.19800000000395812,-0.19268802000000002,-0.052061670000000004,9.88274115,29.647625039999994,20.624100915,36.149768577,785.8635595269209,-1955.6775083664,-3486.5895702670127
0.19900000000052387,-0.16875162,-0.01855071,9.84683655,33.10174729499999,24.20548503,42.26928876,1312.4199575049206,-1562.643568820685,-2801.1827781144693
0.2430000000022119,-0.16695639,-0.01675548,9.847434960000001,36.55317670499999,27.78656994,48.398981913,1891.1358983307355,-1115.4581591598899,-2023.0174670944116
0.2430000000022119,-0.17413731,-0.019149120000000002,9.867182490000001,40.00161406499999,31.368851669999998,54.539745651000004,2522.0520951279204,-614.2162766723101,-1152.0325675215065
0.24399999999877764,-0.17294049,-0.01436184,9.86957613,43.458429164999984,34.93736997,60.677517339000005,3205.8832893988847,-59.121486975720046,-188.26879251930941
0.24500000000261934,-0.15738183,-0.046675980000000006,9.861198390000002,47.00141530499998,38.49272325,66.81289538700001,3943.2944621616944,549.7085942396099,868.2693342317848
0.29200000000128057,-0.0005984100000000001,-0.04069188,9.86478885,50.54619667499998,42.045682889999995,72.95006866500002,4733.7269388875675,1212.2174209687423,2017.6112166543435
0.29200000000128057,-0.15379137,-0.051463260000000004,9.86478885,54.015279179999986,45.59355604499999,79.08933637800001,5576.601688485942,1928.0611935016573,3259.912921721994
0.29200000000128057,-0.15199614,-0.050864849999999996,9.86897772,57.48346406999998,49.10103652499999,85.24715480100001,6471.902878075437,2696.4482677692295,4595.4006334544865
0.2930000000051223,-0.1555866,-0.13224861000000002,9.901890269999999,60.95045213999998,52.54418792999999,91.416343014,7419.628245815854,3516.507835295422,6024.169349140116
0.34100000000034925,-0.15438978,-0.17952300000000002,9.8917173,64.41833782499998,55.93647448499999,97.58672804700001,8419.813981150353,4387.436942810122,7546.30275686619
0.34100000000034925,-0.15379137,-0.23397831000000002,9.90428391,67.89011317499998,59.27340811499999,103.766986845,9472.245209260172,5309.3645152045865,9162.597024382228
0.34100000000034925,-0.14661045,-0.29022885000000004,9.91146483,71.32957438499999,62.682749354999984,110.04269203800001,10576.20040312231,6284.109071997606,10873.837010236766
0.34200000000419095,-0.21841965000000002,-0.08916309,10.0951767,74.70590333999998,66.26024380499999,116.32677497100002,11731.066604043242,7313.880431062138,12678.968696897764
0.3899999999994179,-0.27287496,0.04607757,9.92822031,78.06427999499998,69.96190832999999,122.46305063400003,12936.965951393633,8399.99498339313,14576.250467413149
